Birth Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
0.035,8.746716349694486,3.7135578697211664,94.87567567567568,8.953769294549454,22.32926766379409,0.048,2.639057329615259,5.713958861886928,0.06297479916138844,0.0,0.13811071861565868,58.0,56.0,0.0,1,0.414,0.556,0.03,16.75069819087825,0.439,19.693246342545034,18.903106899369497
0.042,7.155396301896734,3.7135578697211664,94.87567567567568,11.254644782971518,21.820330585458375,0.056,2.995732273553991,5.713958861886928,0.09803374027136541,0.0,0.17730901497041035,51.0,51.0,0.0,1,0.44,0.525,0.034,15.984121760446046,0.31,15.86963441986494,16.380459992348886
0.042,4.997212273764115,3.7135578697211664,94.87567567567568,11.254644782971518,19.70676510548298,0.049,2.833213344056216,5.713958861886928,0.10345870836822998,0.0,0.13811071861565868,53.0,50.0,0.5781237682301931,1,0.435,0.534,0.031,14.05713272320076,0.367,22.320493557319537,22.27707153912607
0.039,9.251386341412184,3.7135578697211664,94.87567567567568,9.550804629866933,23.26528901366934,0.047,2.995732273553991,5.713958861886928,0.06672363204290818,0.0,0.20130685670503531,54.0,52.0,0.0,1,0.442,0.531,0.028,17.258650937587475,0.199,20.030118658386467,18.86536657162407
0.031,11.865749759016373,3.7135578697211664,94.87567567567568,11.254644782971518,20.463459122059028,0.069,3.4011973816621555,5.713958861886928,0.07788653865707122,0.0,0.1578580846155803,48.0,47.0,0.0,1,0.412,0.543,0.045,14.434055952156633,0.195,16.705882371415992,19.088510121656228
0.043,6.07993319509559,3.7135578697211664,94.87567567567568,11.254644782971518,20.0866211902953,0.059,2.4849066497880004,5.713958861886928,0.11243542932978817,0.0,0.1864795669426183,53.0,52.0,0.0,1,0.432,0.537,0.031,14.877448142977892,0.443,22.320493557319537,22.27707153912607
0.022,10.760346700640856,3.7135578697211664,94.87567567567568,9.674200166461429,24.24658057704298,0.034,5.53338948872752,5.713958861886928,0.023716526617316044,0.0,0.06765864847381481,74.0,70.0,0.0,1,0.333,0.628,0.039,15.459579049602231,0.763,18.24632736871235,20.020068322553165
0.041,7.536363938404511,3.7135578697211664,94.87567567567568,11.254644782971518,22.078501232412098,0.05,2.5649493574615367,5.713958861886928,0.06859279146561172,0.0,0.23507212217948356,60.0,57.0,0.0,1,0.455,0.515,0.03,16.57202147214747,0.271,18.839391085389497,18.749984498289212
0.045,6.810142450115136,3.7135578697211664,94.87567567567568,11.254644782971518,21.279164030612048,0.061,2.302585092994046,5.713958861886928,0.09803374027136541,0.0,0.4180126979162183,46.0,46.0,0.0,1,0.458,0.511,0.031,16.242213865812122,0.146,17.182806422433504,17.78580249038432
0.048,6.298949246855942,3.7135578697211664,94.87567567567568,11.254644782971518,21.60805860304415,0.063,2.833213344056216,5.713958861886928,0.1097508639591192,0.0,0.13811071861565868,49.0,49.0,0.0,1,0.461,0.504,0.035,16.143819731402775,0.284,17.665658180950928,18.005165315142214
